#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.1057517E-05   2.0021376E+06   2.0021376E+06   2.6693802E+06   9.9615028E+03   1.3379482E+04   2.0024127E+06   2.0021376E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2406739E-05   2.0021372E+06   2.0021372E+06   2.6693443E+06   9.9614194E+03   1.3379266E+04   2.0024123E+06   2.0021372E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3920590E-05   2.0021367E+06   2.0021367E+06   2.6692991E+06   9.9613144E+03   1.3378995E+04   2.0024117E+06   2.0021367E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5619158E-05   2.0021361E+06   2.0021361E+06   2.6692422E+06   9.9611822E+03   1.3378653E+04   2.0024110E+06   2.0021361E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7524984E-05   2.0021353E+06   2.0021353E+06   2.6691706E+06   9.9610157E+03   1.3378222E+04   2.0024101E+06   2.0021353E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9663355E-05   2.0021343E+06   2.0021343E+06   2.6690805E+06   9.9608062E+03   1.3377680E+04   2.0024090E+06   2.0021343E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2062648E-05   2.0021330E+06   2.0021330E+06   2.6689669E+06   9.9605424E+03   1.3376998E+04   2.0024076E+06   2.0021330E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4754698E-05   2.0021314E+06   2.0021314E+06   2.6688240E+06   9.9602103E+03   1.3376139E+04   2.0024058E+06   2.0021314E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.7775228E-05   2.0021294E+06   2.0021294E+06   2.6686442E+06   9.9597923E+03   1.3375058E+04   2.0024036E+06   2.0021294E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.1164318E-05   2.0021269E+06   2.0021269E+06   2.6684177E+06   9.9592660E+03   1.3373698E+04   2.0024008E+06   2.0021269E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.4966940E-05   2.0021237E+06   2.0021237E+06   2.6681327E+06   9.9586035E+03   1.3371985E+04   2.0023973E+06   2.0021237E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.9233552E-05   2.0021197E+06   2.0021197E+06   2.6677738E+06   9.9577696E+03   1.3369829E+04   2.0023928E+06   2.0021197E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.4020769E-05   2.0021147E+06   2.0021147E+06   2.6673222E+06   9.9567198E+03   1.3367116E+04   2.0023872E+06   2.0021147E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.9392116E-05   2.0021084E+06   2.0021084E+06   2.6667537E+06   9.9553984E+03   1.3363702E+04   2.0023802E+06   2.0021084E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.5418865E-05   2.0021004E+06   2.0021004E+06   2.6660381E+06   9.9537351E+03   1.3359405E+04   2.0023713E+06   2.0021004E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.2180990E-05   2.0020904E+06   2.0020904E+06   2.6651375E+06   9.9516415E+03   1.3353998E+04   2.0023601E+06   2.0020904E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
