#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.1057517E-05   1.7052239E+06   1.7052239E+06   2.2735337E+06   1.0127418E+04   7.5518128E+03   1.7055368E+06   1.7052239E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2406739E-05   1.7052235E+06   1.7052235E+06   2.2735079E+06   1.0127345E+04   7.5516866E+03   1.7055364E+06   1.7052235E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3920590E-05   1.7052231E+06   1.7052231E+06   2.2734754E+06   1.0127254E+04   7.5515278E+03   1.7055359E+06   1.7052231E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5619158E-05   1.7052226E+06   1.7052226E+06   2.2734344E+06   1.0127139E+04   7.5513278E+03   1.7055354E+06   1.7052226E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7524984E-05   1.7052219E+06   1.7052219E+06   2.2733829E+06   1.0126995E+04   7.5510761E+03   1.7055346E+06   1.7052219E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9663355E-05   1.7052211E+06   1.7052211E+06   2.2733180E+06   1.0126813E+04   7.5507591E+03   1.7055337E+06   1.7052211E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2062648E-05   1.7052201E+06   1.7052201E+06   2.2732363E+06   1.0126584E+04   7.5503602E+03   1.7055326E+06   1.7052201E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4754698E-05   1.7052188E+06   1.7052188E+06   2.2731335E+06   1.0126295E+04   7.5498580E+03   1.7055311E+06   1.7052188E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.7775228E-05   1.7052171E+06   1.7052171E+06   2.2730040E+06   1.0125932E+04   7.5492258E+03   1.7055293E+06   1.7052171E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.1164318E-05   1.7052151E+06   1.7052151E+06   2.2728411E+06   1.0125475E+04   7.5484300E+03   1.7055270E+06   1.7052151E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.4966940E-05   1.7052125E+06   1.7052125E+06   2.2726359E+06   1.0124900E+04   7.5474283E+03   1.7055241E+06   1.7052125E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.9233552E-05   1.7052092E+06   1.7052092E+06   2.2723777E+06   1.0124175E+04   7.5461675E+03   1.7055204E+06   1.7052092E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.4020769E-05   1.7052051E+06   1.7052051E+06   2.2720526E+06   1.0123264E+04   7.5445806E+03   1.7055158E+06   1.7052051E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.9392116E-05   1.7051999E+06   1.7051999E+06   2.2716435E+06   1.0122116E+04   7.5425833E+03   1.7055100E+06   1.7051999E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.5418865E-05   1.7051934E+06   1.7051934E+06   2.2711285E+06   1.0120671E+04   7.5400698E+03   1.7055027E+06   1.7051934E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.2180990E-05   1.7051852E+06   1.7051852E+06   2.2704803E+06   1.0118853E+04   7.5369070E+03   1.7054936E+06   1.7051852E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.9768218E-05   1.7051748E+06   1.7051748E+06   2.2696645E+06   1.0116564E+04   7.5329275E+03   1.7054820E+06   1.7051748E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.8281228E-05   1.7051618E+06   1.7051618E+06   2.2686379E+06   1.0113683E+04   7.5279211E+03   1.7054675E+06   1.7051618E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.7832982E-05   1.7051454E+06   1.7051454E+06   2.2673461E+06   1.0110058E+04   7.5216243E+03   1.7054492E+06   1.7051454E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.8550227E-05   1.7051248E+06   1.7051248E+06   2.2657207E+06   1.0105496E+04   7.5137060E+03   1.7054262E+06   1.7051248E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1057517E-04   1.7050989E+06   1.7050989E+06   2.2636760E+06   1.0099755E+04   7.5037518E+03   1.7053972E+06   1.7050989E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2406739E-04   1.7050662E+06   1.7050662E+06   2.2611044E+06   1.0092534E+04   7.4912428E+03   1.7053607E+06   1.7050662E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
