#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.1057517E-05   1.3722364E+07   1.3722364E+07   1.8289646E+07   8.8645380E+03   9.2015493E+06   1.3722388E+07   1.3722364E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2406739E-05   1.3722360E+07   1.3722360E+07   1.8287870E+07   8.8639835E+03   9.2013446E+06   1.3722383E+07   1.3722360E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3920590E-05   1.3722355E+07   1.3722355E+07   1.8285635E+07   8.8632855E+03   9.2010868E+06   1.3722378E+07   1.3722355E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5619158E-05   1.3722348E+07   1.3722348E+07   1.8282821E+07   8.8624068E+03   9.2007624E+06   1.3722371E+07   1.3722348E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7524984E-05   1.3722340E+07   1.3722340E+07   1.8279279E+07   8.8613007E+03   9.2003541E+06   1.3722363E+07   1.3722340E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9663355E-05   1.3722330E+07   1.3722330E+07   1.8274821E+07   8.8599085E+03   9.1998403E+06   1.3722352E+07   1.3722330E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2062648E-05   1.3722317E+07   1.3722317E+07   1.8269210E+07   8.8581561E+03   9.1991937E+06   1.3722339E+07   1.3722317E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4754698E-05   1.3722301E+07   1.3722301E+07   1.8262149E+07   8.8559506E+03   9.1983800E+06   1.3722322E+07   1.3722301E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.7775228E-05   1.3722280E+07   1.3722280E+07   1.8253263E+07   8.8531749E+03   9.1973564E+06   1.3722300E+07   1.3722280E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.1164318E-05   1.3722255E+07   1.3722255E+07   1.8242082E+07   8.8496819E+03   9.1960687E+06   1.3722273E+07   1.3722255E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.4966940E-05   1.3722222E+07   1.3722222E+07   1.8228016E+07   8.8452866E+03   9.1944493E+06   1.3722240E+07   1.3722222E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.9233552E-05   1.3722182E+07   1.3722182E+07   1.8210321E+07   8.8397568E+03   9.1924132E+06   1.3722197E+07   1.3722182E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.4020769E-05   1.3722130E+07   1.3722130E+07   1.8188068E+07   8.8328008E+03   9.1898540E+06   1.3722144E+07   1.3722130E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.9392116E-05   1.3722066E+07   1.3722066E+07   1.8160090E+07   8.8240525E+03   9.1866389E+06   1.3722076E+07   1.3722066E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.5418865E-05   1.3721985E+07   1.3721985E+07   1.8124925E+07   8.8130528E+03   9.1826016E+06   1.3721991E+07   1.3721985E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.2180990E-05   1.3721883E+07   1.3721883E+07   1.8080746E+07   8.7992271E+03   9.1775354E+06   1.3721884E+07   1.3721883E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.9768218E-05   1.3721754E+07   1.3721754E+07   1.8025274E+07   8.7818564E+03   9.1711834E+06   1.3721750E+07   1.3721754E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.8281228E-05   1.3721592E+07   1.3721592E+07   1.7955666E+07   8.7600430E+03   9.1632277E+06   1.3721581E+07   1.3721592E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.7832982E-05   1.3721389E+07   1.3721389E+07   1.7868397E+07   8.7326686E+03   9.1532768E+06   1.3721368E+07   1.3721389E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.8550227E-05   1.3721133E+07   1.3721133E+07   1.7759101E+07   8.6983438E+03   9.1408513E+06   1.3721101E+07   1.3721133E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1057517E-04   1.3720811E+07   1.3720811E+07   1.7622404E+07   8.6553483E+03   9.1253688E+06   1.3720764E+07   1.3720811E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2406739E-04   1.3720407E+07   1.3720407E+07   1.7451729E+07   8.6015623E+03   9.1061291E+06   1.3720341E+07   1.3720407E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3920590E-04   1.3719899E+07   1.3719899E+07   1.7239085E+07   8.5343882E+03   9.0823019E+06   1.3719810E+07   1.3719899E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5619158E-04   1.3719260E+07   1.3719260E+07   1.6974873E+07   8.4506673E+03   9.0529201E+06   1.3719142E+07   1.3719260E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7524984E-04   1.3718459E+07   1.3718459E+07   1.6647708E+07   8.3465960E+03   9.0168867E+06   1.3718304E+07   1.3718459E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9663355E-04   1.3717453E+07   1.3717453E+07   1.6244342E+07   8.2176535E+03   8.9730019E+06   1.3717252E+07   1.3717453E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2062648E-04   1.3716193E+07   1.3716193E+07   1.5749746E+07   8.0585588E+03   8.9200262E+06   1.3715934E+07   1.3716193E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4754698E-04   1.3714616E+07   1.3714616E+07   1.5147484E+07   7.8632885E+03   8.8567961E+06   1.3714284E+07   1.3714616E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.7775228E-04   1.3712643E+07   1.3712643E+07   1.4420556E+07   7.6252006E+03   8.7824143E+06   1.3712221E+07   1.3712643E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.1164318E-04   1.3710181E+07   1.3710181E+07   1.3552946E+07   7.3373284E+03   8.6965371E+06   1.3709646E+07   1.3710181E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.4966940E-04   1.3707113E+07   1.3707113E+07   1.2532143E+07   6.9929327E+03   8.5997688E+06   1.3706437E+07   1.3707113E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.9233552E-04   1.3703301E+07   1.3703301E+07   1.1352912E+07   6.5864110E+03   8.4941414E+06   1.3702449E+07   1.3703301E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.4020769E-04   1.3698577E+07   1.3698577E+07   1.0022421E+07   6.1146596E+03   8.3835904E+06   1.3697508E+07   1.3698577E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.9392116E-04   1.3692743E+07   1.3692743E+07   8.5664215E+06   5.5789262E+03   8.2742065E+06   1.3691404E+07   1.3692743E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.5418865E-04   1.3685565E+07   1.3685565E+07   7.0353569E+06   4.9870394E+03   8.1738675E+06   1.3683896E+07   1.3685565E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.2180990E-04   1.3676772E+07   1.3676772E+07   5.5078757E+06   4.3556047E+03   8.0906664E+06   1.3674699E+07   1.3676772E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.9768218E-04   1.3666050E+07   1.3666050E+07   4.0875508E+06   3.7112891E+03   8.0295535E+06   1.3663486E+07   1.3666050E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.8281228E-04   1.3653036E+07   1.3653036E+07   2.8874806E+06   3.0897663E+03   7.9871945E+06   1.3649884E+07   1.3653036E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.7832982E-04   1.3637314E+07   1.3637314E+07   1.9992309E+06   2.5306327E+03   7.9467397E+06   1.3633462E+07   1.3637314E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.8550227E-04   1.3618400E+07   1.3618400E+07   1.4506325E+06   2.0673776E+03   7.8771073E+06   1.3613727E+07   1.3618400E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1057517E-03   1.3595726E+07   1.3595726E+07   1.1730274E+06   1.7143070E+03   7.7435967E+06   1.3590108E+07   1.3595726E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2406739E-03   1.3568631E+07   1.3568631E+07   1.0148296E+06   1.4572160E+03   7.5324744E+06   1.3561945E+07   1.3568631E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3920590E-03   1.3536359E+07   1.3536359E+07   8.2831680E+05   1.2582974E+03   7.2747837E+06   1.3528494E+07   1.3536359E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5619158E-03   1.3498075E+07   1.3498075E+07   5.8799192E+05   1.0802036E+03   7.0322034E+06   1.3488939E+07   1.3498075E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7524984E-03   1.3452887E+07   1.3452887E+07   4.0356052E+05   9.1368381E+02   6.8262560E+06   1.3442418E+07   1.3452887E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9663355E-03   1.3399859E+07   1.3399859E+07   3.4308310E+05   7.7518948E+02   6.5936019E+06   1.3388023E+07   1.3399859E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2062648E-03   1.3337985E+07   1.3337985E+07   2.9791755E+05   6.6942184E+02   6.2948021E+06   1.3324770E+07   1.3337985E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
