#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.1057517E-05   7.6344157E+05   7.6344157E+05   1.0179038E+06   1.0577602E+04   4.4069740E+02   7.6396129E+05   7.6344157E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2406739E-05   7.6344145E+05   7.6344145E+05   1.0178989E+06   1.0577568E+04   4.4068942E+02   7.6396116E+05   7.6344145E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3920590E-05   7.6344131E+05   7.6344131E+05   1.0178928E+06   1.0577525E+04   4.4067937E+02   7.6396099E+05   7.6344131E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5619158E-05   7.6344112E+05   7.6344112E+05   1.0178851E+06   1.0577470E+04   4.4066671E+02   7.6396079E+05   7.6344112E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7524984E-05   7.6344089E+05   7.6344089E+05   1.0178753E+06   1.0577402E+04   4.4065078E+02   7.6396052E+05   7.6344089E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9663355E-05   7.6344060E+05   7.6344060E+05   1.0178631E+06   1.0577316E+04   4.4063073E+02   7.6396019E+05   7.6344060E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2062648E-05   7.6344024E+05   7.6344024E+05   1.0178476E+06   1.0577208E+04   4.4060548E+02   7.6395978E+05   7.6344024E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4754698E-05   7.6343977E+05   7.6343977E+05   1.0178282E+06   1.0577072E+04   4.4057370E+02   7.6395925E+05   7.6343977E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.7775228E-05   7.6343919E+05   7.6343919E+05   1.0178037E+06   1.0576900E+04   4.4053369E+02   7.6395859E+05   7.6343919E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.1164318E-05   7.6343846E+05   7.6343846E+05   1.0177729E+06   1.0576684E+04   4.4048332E+02   7.6395776E+05   7.6343846E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.4966940E-05   7.6343755E+05   7.6343755E+05   1.0177341E+06   1.0576413E+04   4.4041992E+02   7.6395672E+05   7.6343755E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.9233552E-05   7.6343639E+05   7.6343639E+05   1.0176853E+06   1.0576071E+04   4.4034011E+02   7.6395540E+05   7.6343639E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.4020769E-05   7.6343493E+05   7.6343493E+05   1.0176239E+06   1.0575640E+04   4.4023963E+02   7.6395374E+05   7.6343493E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.9392116E-05   7.6343310E+05   7.6343310E+05   1.0175465E+06   1.0575098E+04   4.4011317E+02   7.6395166E+05   7.6343310E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.5418865E-05   7.6343079E+05   7.6343079E+05   1.0174491E+06   1.0574415E+04   4.3995398E+02   7.6394903E+05   7.6343079E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.2180990E-05   7.6342789E+05   7.6342789E+05   1.0173265E+06   1.0573556E+04   4.3975362E+02   7.6394573E+05   7.6342789E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
