#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   2.0849369E+06   2.0849369E+06   2.7797827E+06   1.2745389E+04   1.1381502E+04   2.0853108E+06   2.0849369E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   2.0849364E+06   2.0849364E+06   2.7797476E+06   1.2745289E+04   1.1381311E+04   2.0853103E+06   2.0849364E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   2.0849358E+06   2.0849358E+06   2.7797034E+06   1.2745162E+04   1.1381070E+04   2.0853097E+06   2.0849358E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   2.0849351E+06   2.0849351E+06   2.7796478E+06   1.2745002E+04   1.1380766E+04   2.0853089E+06   2.0849351E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   2.0849342E+06   2.0849342E+06   2.7795778E+06   1.2744801E+04   1.1380384E+04   2.0853079E+06   2.0849342E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   2.0849330E+06   2.0849330E+06   2.7794896E+06   1.2744548E+04   1.1379903E+04   2.0853066E+06   2.0849330E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   2.0849316E+06   2.0849316E+06   2.7793787E+06   1.2744230E+04   1.1379297E+04   2.0853050E+06   2.0849316E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   2.0849298E+06   2.0849298E+06   2.7792390E+06   1.2743829E+04   1.1378534E+04   2.0853029E+06   2.0849298E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   2.0849275E+06   2.0849275E+06   2.7790632E+06   1.2743324E+04   1.1377574E+04   2.0853004E+06   2.0849275E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   2.0849246E+06   2.0849246E+06   2.7788419E+06   1.2742689E+04   1.1376366E+04   2.0852971E+06   2.0849246E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   2.0849210E+06   2.0849210E+06   2.7785632E+06   1.2741889E+04   1.1374845E+04   2.0852931E+06   2.0849210E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   2.0849164E+06   2.0849164E+06   2.7782125E+06   1.2740882E+04   1.1372931E+04   2.0852880E+06   2.0849164E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   2.0849107E+06   2.0849107E+06   2.7777710E+06   1.2739615E+04   1.1370522E+04   2.0852816E+06   2.0849107E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   2.0849034E+06   2.0849034E+06   2.7772153E+06   1.2738020E+04   1.1367489E+04   2.0852735E+06   2.0849034E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
