#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   1.5276725E+07   1.5276725E+07   2.0361242E+07   1.1476018E+04   1.0359809E+07   1.5276755E+07   1.5276725E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   1.5276720E+07   1.5276720E+07   2.0359236E+07   1.1475291E+04   1.0359555E+07   1.5276750E+07   1.5276720E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   1.5276714E+07   1.5276714E+07   2.0356710E+07   1.1474375E+04   1.0359235E+07   1.5276743E+07   1.5276714E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   1.5276706E+07   1.5276706E+07   2.0353531E+07   1.1473223E+04   1.0358831E+07   1.5276734E+07   1.5276706E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   1.5276695E+07   1.5276695E+07   2.0349529E+07   1.1471773E+04   1.0358324E+07   1.5276724E+07   1.5276695E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   1.5276682E+07   1.5276682E+07   2.0344492E+07   1.1469947E+04   1.0357686E+07   1.5276710E+07   1.5276682E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   1.5276666E+07   1.5276666E+07   2.0338153E+07   1.1467649E+04   1.0356882E+07   1.5276693E+07   1.5276666E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   1.5276646E+07   1.5276646E+07   2.0330174E+07   1.1464756E+04   1.0355871E+07   1.5276672E+07   1.5276646E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   1.5276620E+07   1.5276620E+07   2.0320134E+07   1.1461116E+04   1.0354599E+07   1.5276645E+07   1.5276620E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   1.5276588E+07   1.5276588E+07   2.0307502E+07   1.1456536E+04   1.0352999E+07   1.5276611E+07   1.5276588E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
