#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   1.5122378E+06   1.5122378E+06   2.0162487E+06   1.3102031E+04   3.5557584E+03   1.5127136E+06   1.5122378E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   1.5122375E+06   1.5122375E+06   2.0162306E+06   1.3101956E+04   3.5556943E+03   1.5127132E+06   1.5122375E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   1.5122371E+06   1.5122371E+06   2.0162078E+06   1.3101861E+04   3.5556137E+03   1.5127128E+06   1.5122371E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   1.5122366E+06   1.5122366E+06   2.0161791E+06   1.3101741E+04   3.5555122E+03   1.5127122E+06   1.5122366E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   1.5122360E+06   1.5122360E+06   2.0161430E+06   1.3101590E+04   3.5553844E+03   1.5127116E+06   1.5122360E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   1.5122353E+06   1.5122353E+06   2.0160975E+06   1.3101401E+04   3.5552235E+03   1.5127107E+06   1.5122353E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   1.5122343E+06   1.5122343E+06   2.0160402E+06   1.3101162E+04   3.5550209E+03   1.5127096E+06   1.5122343E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   1.5122331E+06   1.5122331E+06   2.0159681E+06   1.3100861E+04   3.5547660E+03   1.5127082E+06   1.5122331E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   1.5122316E+06   1.5122316E+06   2.0158774E+06   1.3100482E+04   3.5544450E+03   1.5127065E+06   1.5122316E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   1.5122297E+06   1.5122297E+06   2.0157631E+06   1.3100006E+04   3.5540410E+03   1.5127044E+06   1.5122297E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   1.5122272E+06   1.5122272E+06   2.0156193E+06   1.3099406E+04   3.5535324E+03   1.5127017E+06   1.5122272E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   1.5122242E+06   1.5122242E+06   2.0154383E+06   1.3098650E+04   3.5528922E+03   1.5126982E+06   1.5122242E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   1.5122204E+06   1.5122204E+06   2.0152104E+06   1.3097700E+04   3.5520865E+03   1.5126939E+06   1.5122204E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   1.5122156E+06   1.5122156E+06   2.0149235E+06   1.3096503E+04   3.5510723E+03   1.5126885E+06   1.5122156E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-05   1.5122095E+06   1.5122095E+06   2.0145624E+06   1.3094996E+04   3.5497959E+03   1.5126817E+06   1.5122095E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-05   1.5122019E+06   1.5122019E+06   2.0141079E+06   1.3093100E+04   3.5481896E+03   1.5126731E+06   1.5122019E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-05   1.5121923E+06   1.5121923E+06   2.0135359E+06   1.3090712E+04   3.5461683E+03   1.5126622E+06   1.5121923E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-05   1.5121802E+06   1.5121802E+06   2.0128159E+06   1.3087708E+04   3.5436252E+03   1.5126486E+06   1.5121802E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
