#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   2.4478532E+06   2.4478532E+06   3.2636189E+06   1.2531701E+04   1.9868346E+04   2.4481808E+06   2.4478532E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   2.4478527E+06   2.4478527E+06   3.2635702E+06   1.2531585E+04   1.9868025E+04   2.4481801E+06   2.4478527E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   2.4478520E+06   2.4478520E+06   3.2635088E+06   1.2531439E+04   1.9867620E+04   2.4481794E+06   2.4478520E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   2.4478511E+06   2.4478511E+06   3.2634316E+06   1.2531255E+04   1.9867111E+04   2.4481784E+06   2.4478511E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   2.4478500E+06   2.4478500E+06   3.2633343E+06   1.2531023E+04   1.9866470E+04   2.4481771E+06   2.4478500E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   2.4478486E+06   2.4478486E+06   3.2632119E+06   1.2530732E+04   1.9865663E+04   2.4481756E+06   2.4478486E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   2.4478468E+06   2.4478468E+06   3.2630577E+06   1.2530365E+04   1.9864647E+04   2.4481736E+06   2.4478468E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   2.4478446E+06   2.4478446E+06   3.2628637E+06   1.2529903E+04   1.9863368E+04   2.4481711E+06   2.4478446E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   2.4478418E+06   2.4478418E+06   3.2626194E+06   1.2529322E+04   1.9861758E+04   2.4481680E+06   2.4478418E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   2.4478383E+06   2.4478383E+06   3.2623119E+06   1.2528590E+04   1.9859732E+04   2.4481641E+06   2.4478383E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   2.4478338E+06   2.4478338E+06   3.2619249E+06   1.2527669E+04   1.9857182E+04   2.4481591E+06   2.4478338E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   2.4478282E+06   2.4478282E+06   3.2614377E+06   1.2526509E+04   1.9853972E+04   2.4481529E+06   2.4478282E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   2.4478212E+06   2.4478212E+06   3.2608244E+06   1.2525049E+04   1.9849931E+04   2.4481451E+06   2.4478212E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   2.4478123E+06   2.4478123E+06   3.2600525E+06   1.2523212E+04   1.9844847E+04   2.4481353E+06   2.4478123E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-05   2.4478012E+06   2.4478012E+06   3.2590810E+06   1.2520899E+04   1.9838450E+04   2.4481229E+06   2.4478012E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-05   2.4477872E+06   2.4477872E+06   3.2578583E+06   1.2517988E+04   1.9830400E+04   2.4481072E+06   2.4477872E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-05   2.4477695E+06   2.4477695E+06   3.2563196E+06   1.2514324E+04   1.9820274E+04   2.4480876E+06   2.4477695E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-05   2.4477473E+06   2.4477473E+06   3.2543834E+06   1.2509713E+04   1.9807537E+04   2.4480629E+06   2.4477473E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-05   2.4477193E+06   2.4477193E+06   3.2519475E+06   1.2503910E+04   1.9791521E+04   2.4480317E+06   2.4477193E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-05   2.4476841E+06   2.4476841E+06   3.2488832E+06   1.2496610E+04   1.9771389E+04   2.4479925E+06   2.4476841E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0537954E-04   2.4476397E+06   2.4476397E+06   3.2450294E+06   1.2487426E+04   1.9746089E+04   2.4479432E+06   2.4476397E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-04   2.4475839E+06   2.4475839E+06   3.2401837E+06   1.2475874E+04   1.9714314E+04   2.4478812E+06   2.4475839E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-04   2.4475137E+06   2.4475137E+06   3.2340929E+06   1.2461348E+04   1.9674428E+04   2.4478031E+06   2.4475137E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
