#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0008987E-05   8.3482478E+05   8.3482478E+05   1.1130826E+06   1.7134471E+04   3.4555448E+02   8.3574650E+05   8.3482478E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1230268E-05   8.3482463E+05   8.3482463E+05   1.1130780E+06   1.7134422E+04   3.4554838E+02   8.3574633E+05   8.3482463E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2600568E-05   8.3482444E+05   8.3482444E+05   1.1130721E+06   1.7134361E+04   3.4554069E+02   8.3574612E+05   8.3482444E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4138070E-05   8.3482421E+05   8.3482421E+05   1.1130648E+06   1.7134284E+04   3.4553102E+02   8.3574585E+05   8.3482421E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5863175E-05   8.3482391E+05   8.3482391E+05   1.1130556E+06   1.7134187E+04   3.4551884E+02   8.3574550E+05   8.3482391E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7798775E-05   8.3482354E+05   8.3482354E+05   1.1130439E+06   1.7134064E+04   3.4550351E+02   8.3574508E+05   8.3482354E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9970554E-05   8.3482307E+05   8.3482307E+05   1.1130293E+06   1.7133910E+04   3.4548421E+02   8.3574454E+05   8.3482307E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2407330E-05   8.3482248E+05   8.3482248E+05   1.1130109E+06   1.7133716E+04   3.4545992E+02   8.3574386E+05   8.3482248E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.5141438E-05   8.3482174E+05   8.3482174E+05   1.1129877E+06   1.7133472E+04   3.4542933E+02   8.3574300E+05   8.3482174E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8209158E-05   8.3482080E+05   8.3482080E+05   1.1129585E+06   1.7133165E+04   3.4539083E+02   8.3574193E+05   8.3482080E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.1651195E-05   8.3481962E+05   8.3481962E+05   1.1129217E+06   1.7132778E+04   3.4534236E+02   8.3574057E+05   8.3481962E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.5513225E-05   8.3481814E+05   8.3481814E+05   1.1128754E+06   1.7132291E+04   3.4528134E+02   8.3573886E+05   8.3481814E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.9846494E-05   8.3481627E+05   8.3481627E+05   1.1128171E+06   1.7131678E+04   3.4520454E+02   8.3573672E+05   8.3481627E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
