#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0008987E-05   5.2861966E+06   5.2861966E+06   7.0474740E+06   1.4998947E+04   2.0858774E+05   5.2864303E+06   5.2861966E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1230268E-05   5.2861951E+06   5.2861951E+06   7.0472679E+06   1.4998677E+04   2.0858462E+05   5.2864286E+06   5.2861951E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2600568E-05   5.2861931E+06   5.2861931E+06   7.0470083E+06   1.4998337E+04   2.0858068E+05   5.2864264E+06   5.2861931E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4138070E-05   5.2861905E+06   5.2861905E+06   7.0466816E+06   1.4997909E+04   2.0857573E+05   5.2864236E+06   5.2861905E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5863175E-05   5.2861874E+06   5.2861874E+06   7.0462702E+06   1.4997370E+04   2.0856950E+05   5.2864202E+06   5.2861874E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7798775E-05   5.2861834E+06   5.2861834E+06   7.0457524E+06   1.4996691E+04   2.0856165E+05   5.2864158E+06   5.2861834E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9970554E-05   5.2861783E+06   5.2861783E+06   7.0451006E+06   1.4995838E+04   2.0855177E+05   5.2864103E+06   5.2861783E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2407330E-05   5.2861720E+06   5.2861720E+06   7.0442801E+06   1.4994763E+04   2.0853934E+05   5.2864034E+06   5.2861720E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.5141438E-05   5.2861641E+06   5.2861641E+06   7.0432472E+06   1.4993409E+04   2.0852369E+05   5.2863947E+06   5.2861641E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8209158E-05   5.2861540E+06   5.2861540E+06   7.0419472E+06   1.4991706E+04   2.0850399E+05   5.2863837E+06   5.2861540E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.1651195E-05   5.2861414E+06   5.2861414E+06   7.0403108E+06   1.4989562E+04   2.0847920E+05   5.2863700E+06   5.2861414E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.5513225E-05   5.2861255E+06   5.2861255E+06   7.0382512E+06   1.4986863E+04   2.0844801E+05   5.2863526E+06   5.2861255E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.9846494E-05   5.2861055E+06   5.2861055E+06   7.0356592E+06   1.4983466E+04   2.0840876E+05   5.2863308E+06   5.2861055E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.4708502E-05   5.2860803E+06   5.2860803E+06   7.0323973E+06   1.4979191E+04   2.0835939E+05   5.2863032E+06   5.2860803E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.0163764E-05   5.2860487E+06   5.2860487E+06   7.0282929E+06   1.4973811E+04   2.0829728E+05   5.2862686E+06   5.2860487E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.6284669E-05   5.2860088E+06   5.2860088E+06   7.0231290E+06   1.4967041E+04   2.0821917E+05   5.2862250E+06   5.2860088E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.3152438E-05   5.2859585E+06   5.2859585E+06   7.0166331E+06   1.4958523E+04   2.0812098E+05   5.2861702E+06   5.2859585E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.0858200E-05   5.2858953E+06   5.2858953E+06   7.0084633E+06   1.4947808E+04   2.0799757E+05   5.2861012E+06   5.2858953E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.9504209E-05   5.2858158E+06   5.2858158E+06   6.9981909E+06   1.4934330E+04   2.0784253E+05   5.2860143E+06   5.2858158E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.9205189E-05   5.2857157E+06   5.2857157E+06   6.9852791E+06   1.4917382E+04   2.0764789E+05   5.2859049E+06   5.2857157E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0008987E-04   5.2855897E+06   5.2855897E+06   6.9690560E+06   1.4896076E+04   2.0740368E+05   5.2857674E+06   5.2855897E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1230268E-04   5.2854313E+06   5.2854313E+06   6.9486831E+06   1.4869303E+04   2.0709755E+05   5.2855942E+06   5.2854313E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2600568E-04   5.2852319E+06   5.2852319E+06   6.9231153E+06   1.4835675E+04   2.0671424E+05   5.2853765E+06   5.2852319E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4138070E-04   5.2849811E+06   5.2849811E+06   6.8910540E+06   1.4793463E+04   2.0623496E+05   5.2851026E+06   5.2849811E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5863175E-04   5.2846657E+06   5.2846657E+06   6.8508911E+06   1.4740514E+04   2.0563674E+05   5.2847582E+06   5.2846657E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7798775E-04   5.2842693E+06   5.2842693E+06   6.8006443E+06   1.4674161E+04   2.0489177E+05   5.2843253E+06   5.2842693E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9970554E-04   5.2837711E+06   5.2837711E+06   6.7378841E+06   1.4591109E+04   2.0396664E+05   5.2837814E+06   5.2837711E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2407330E-04   5.2831453E+06   5.2831453E+06   6.6596547E+06   1.4487312E+04   2.0282195E+05   5.2830982E+06   5.2831453E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.5141438E-04   5.2823597E+06   5.2823597E+06   6.5623957E+06   1.4357833E+04   2.0141202E+05   5.2822408E+06   5.2823597E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8209158E-04   5.2813742E+06   5.2813742E+06   6.4418730E+06   1.4196701E+04   1.9968544E+05   5.2811653E+06   5.2813742E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
