#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0008987E-05   2.5734829E+06   2.5734829E+06   3.4311277E+06   1.6336626E+04   1.7285874E+04   2.5739375E+06   2.5734829E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1230268E-05   2.5734823E+06   2.5734823E+06   3.4310794E+06   1.6336483E+04   1.7285580E+04   2.5739368E+06   2.5734823E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2600568E-05   2.5734814E+06   2.5734814E+06   3.4310187E+06   1.6336303E+04   1.7285209E+04   2.5739359E+06   2.5734814E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4138070E-05   2.5734804E+06   2.5734804E+06   3.4309423E+06   1.6336076E+04   1.7284743E+04   2.5739347E+06   2.5734804E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5863175E-05   2.5734791E+06   2.5734791E+06   3.4308461E+06   1.6335791E+04   1.7284156E+04   2.5739333E+06   2.5734791E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7798775E-05   2.5734775E+06   2.5734775E+06   3.4307250E+06   1.6335432E+04   1.7283417E+04   2.5739314E+06   2.5734775E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9970554E-05   2.5734754E+06   2.5734754E+06   3.4305725E+06   1.6334980E+04   1.7282486E+04   2.5739291E+06   2.5734754E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2407330E-05   2.5734728E+06   2.5734728E+06   3.4303806E+06   1.6334411E+04   1.7281315E+04   2.5739262E+06   2.5734728E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.5141438E-05   2.5734696E+06   2.5734696E+06   3.4301390E+06   1.6333694E+04   1.7279841E+04   2.5739226E+06   2.5734696E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8209158E-05   2.5734655E+06   2.5734655E+06   3.4298348E+06   1.6332792E+04   1.7277985E+04   2.5739180E+06   2.5734655E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.1651195E-05   2.5734603E+06   2.5734603E+06   3.4294519E+06   1.6331657E+04   1.7275650E+04   2.5739122E+06   2.5734603E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.5513225E-05   2.5734538E+06   2.5734538E+06   3.4289700E+06   1.6330228E+04   1.7272710E+04   2.5739049E+06   2.5734538E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.9846494E-05   2.5734456E+06   2.5734456E+06   3.4283633E+06   1.6328429E+04   1.7269010E+04   2.5738958E+06   2.5734456E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.4708502E-05   2.5734353E+06   2.5734353E+06   3.4275997E+06   1.6326164E+04   1.7264353E+04   2.5738842E+06   2.5734353E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.0163764E-05   2.5734223E+06   2.5734223E+06   3.4266387E+06   1.6323314E+04   1.7258494E+04   2.5738697E+06   2.5734223E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.6284669E-05   2.5734059E+06   2.5734059E+06   3.4254291E+06   1.6319726E+04   1.7251121E+04   2.5738514E+06   2.5734059E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.3152438E-05   2.5733854E+06   2.5733854E+06   3.4239069E+06   1.6315210E+04   1.7241846E+04   2.5738284E+06   2.5733854E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.0858200E-05   2.5733595E+06   2.5733595E+06   3.4219914E+06   1.6309528E+04   1.7230179E+04   2.5737995E+06   2.5733595E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
