#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0008987E-05   1.1470833E+07   1.1470833E+07   1.5290653E+07   1.4230109E+04   2.7347007E+06   1.1470925E+07   1.1470833E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1230268E-05   1.1470829E+07   1.1470829E+07   1.5289666E+07   1.4229528E+04   2.7346534E+06   1.1470920E+07   1.1470829E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2600568E-05   1.1470824E+07   1.1470824E+07   1.5288424E+07   1.4228796E+04   2.7345940E+06   1.1470915E+07   1.1470824E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4138070E-05   1.1470817E+07   1.1470817E+07   1.5286860E+07   1.4227875E+04   2.7345191E+06   1.1470908E+07   1.1470817E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5863175E-05   1.1470809E+07   1.1470809E+07   1.5284891E+07   1.4226716E+04   2.7344248E+06   1.1470900E+07   1.1470809E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7798775E-05   1.1470799E+07   1.1470799E+07   1.5282413E+07   1.4225257E+04   2.7343062E+06   1.1470889E+07   1.1470799E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9970554E-05   1.1470786E+07   1.1470786E+07   1.5279294E+07   1.4223420E+04   2.7341569E+06   1.1470875E+07   1.1470786E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2407330E-05   1.1470770E+07   1.1470770E+07   1.5275369E+07   1.4221108E+04   2.7339690E+06   1.1470858E+07   1.1470770E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.5141438E-05   1.1470750E+07   1.1470750E+07   1.5270428E+07   1.4218198E+04   2.7337326E+06   1.1470836E+07   1.1470750E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8209158E-05   1.1470724E+07   1.1470724E+07   1.5264210E+07   1.4214535E+04   2.7334351E+06   1.1470809E+07   1.1470724E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.1651195E-05   1.1470692E+07   1.1470692E+07   1.5256386E+07   1.4209926E+04   2.7330608E+06   1.1470775E+07   1.1470692E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.5513225E-05   1.1470652E+07   1.1470652E+07   1.5246541E+07   1.4204125E+04   2.7325901E+06   1.1470732E+07   1.1470652E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.9846494E-05   1.1470601E+07   1.1470601E+07   1.5234155E+07   1.4196826E+04   2.7319982E+06   1.1470678E+07   1.1470601E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.4708502E-05   1.1470537E+07   1.1470537E+07   1.5218576E+07   1.4187644E+04   2.7312540E+06   1.1470610E+07   1.1470537E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.0163764E-05   1.1470456E+07   1.1470456E+07   1.5198986E+07   1.4176094E+04   2.7303189E+06   1.1470524E+07   1.1470456E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.6284669E-05   1.1470354E+07   1.1470354E+07   1.5174356E+07   1.4161568E+04   2.7291443E+06   1.1470416E+07   1.1470354E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.3152438E-05   1.1470226E+07   1.1470226E+07   1.5143404E+07   1.4143306E+04   2.7276697E+06   1.1470280E+07   1.1470226E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.0858200E-05   1.1470065E+07   1.1470065E+07   1.5104523E+07   1.4120354E+04   2.7258199E+06   1.1470109E+07   1.1470065E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.9504209E-05   1.1469863E+07   1.1469863E+07   1.5055710E+07   1.4091519E+04   2.7235017E+06   1.1469894E+07   1.1469863E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.9205189E-05   1.1469608E+07   1.1469608E+07   1.4994473E+07   1.4055315E+04   2.7205997E+06   1.1469623E+07   1.1469608E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0008987E-04   1.1469287E+07   1.1469287E+07   1.4917717E+07   1.4009888E+04   2.7169724E+06   1.1469283E+07   1.1469287E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1230268E-04   1.1468884E+07   1.1468884E+07   1.4821621E+07   1.3952939E+04   2.7124470E+06   1.1468855E+07   1.1468884E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2600568E-04   1.1468378E+07   1.1468378E+07   1.4701484E+07   1.3881623E+04   2.7068142E+06   1.1468316E+07   1.1468378E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4138070E-04   1.1467741E+07   1.1467741E+07   1.4551563E+07   1.3792438E+04   2.6998240E+06   1.1467640E+07   1.1467741E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5863175E-04   1.1466941E+07   1.1466941E+07   1.4364904E+07   1.3681099E+04   2.6911818E+06   1.1466790E+07   1.1466941E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7798775E-04   1.1465936E+07   1.1465936E+07   1.4133172E+07   1.3542407E+04   2.6805482E+06   1.1465723E+07   1.1465936E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9970554E-04   1.1464676E+07   1.1464676E+07   1.3846534E+07   1.3370116E+04   2.6675432E+06   1.1464384E+07   1.1464676E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
