#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0008987E-05   7.8424793E+06   7.8424793E+06   1.0454893E+07   1.4405475E+04   7.7126213E+05   7.8426314E+06   7.8424793E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1230268E-05   7.8424767E+06   7.8424767E+06   1.0454437E+07   1.4405084E+04   7.7125040E+05   7.8426286E+06   7.8424767E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2600568E-05   7.8424735E+06   7.8424735E+06   1.0453864E+07   1.4404592E+04   7.7123564E+05   7.8426251E+06   7.8424735E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4138070E-05   7.8424694E+06   7.8424694E+06   1.0453142E+07   1.4403973E+04   7.7121707E+05   7.8426208E+06   7.8424694E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5863175E-05   7.8424643E+06   7.8424643E+06   1.0452233E+07   1.4403193E+04   7.7119368E+05   7.8426152E+06   7.8424643E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7798775E-05   7.8424578E+06   7.8424578E+06   1.0451089E+07   1.4402211E+04   7.7116424E+05   7.8426083E+06   7.8424578E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9970554E-05   7.8424497E+06   7.8424497E+06   1.0449649E+07   1.4400976E+04   7.7112719E+05   7.8425996E+06   7.8424497E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2407330E-05   7.8424395E+06   7.8424395E+06   1.0447837E+07   1.4399421E+04   7.7108056E+05   7.8425886E+06   7.8424395E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.5141438E-05   7.8424267E+06   7.8424267E+06   1.0445555E+07   1.4397463E+04   7.7102187E+05   7.8425747E+06   7.8424267E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8209158E-05   7.8424105E+06   7.8424105E+06   1.0442684E+07   1.4394999E+04   7.7094801E+05   7.8425573E+06   7.8424105E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.1651195E-05   7.8423901E+06   7.8423901E+06   1.0439070E+07   1.4391898E+04   7.7085508E+05   7.8425354E+06   7.8423901E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.5513225E-05   7.8423645E+06   7.8423645E+06   1.0434522E+07   1.4387994E+04   7.7073816E+05   7.8425078E+06   7.8423645E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.9846494E-05   7.8423322E+06   7.8423322E+06   1.0428799E+07   1.4383082E+04   7.7059107E+05   7.8424730E+06   7.8423322E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.4708502E-05   7.8422916E+06   7.8422916E+06   1.0421599E+07   1.4376901E+04   7.7040609E+05   7.8424292E+06   7.8422916E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.0163764E-05   7.8422404E+06   7.8422404E+06   1.0412541E+07   1.4369123E+04   7.7017350E+05   7.8423742E+06   7.8422404E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.6284669E-05   7.8421761E+06   7.8421761E+06   1.0401149E+07   1.4359338E+04   7.6988114E+05   7.8423048E+06   7.8421761E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.3152438E-05   7.8420950E+06   7.8420950E+06   1.0386823E+07   1.4347031E+04   7.6951381E+05   7.8422176E+06   7.8420950E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
