#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   2.8734727E+06   2.8734727E+06   3.8310398E+06   1.2298662E+04   3.5082145E+04   2.8737575E+06   2.8734727E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   2.8734720E+06   2.8734720E+06   3.8309723E+06   1.2298529E+04   3.5081604E+04   2.8737567E+06   2.8734720E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   2.8734711E+06   2.8734711E+06   3.8308873E+06   1.2298361E+04   3.5080925E+04   2.8737557E+06   2.8734711E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   2.8734701E+06   2.8734701E+06   3.8307804E+06   1.2298149E+04   3.5080069E+04   2.8737545E+06   2.8734701E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   2.8734687E+06   2.8734687E+06   3.8306457E+06   1.2297883E+04   3.5078991E+04   2.8737530E+06   2.8734687E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   2.8734670E+06   2.8734670E+06   3.8304762E+06   1.2297548E+04   3.5077635E+04   2.8737511E+06   2.8734670E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   2.8734648E+06   2.8734648E+06   3.8302628E+06   1.2297126E+04   3.5075928E+04   2.8737488E+06   2.8734648E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   2.8734621E+06   2.8734621E+06   3.8299942E+06   1.2296594E+04   3.5073779E+04   2.8737457E+06   2.8734621E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   2.8734587E+06   2.8734587E+06   3.8296561E+06   1.2295926E+04   3.5071074E+04   2.8737420E+06   2.8734587E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   2.8734544E+06   2.8734544E+06   3.8292304E+06   1.2295084E+04   3.5067669E+04   2.8737372E+06   2.8734544E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   2.8734490E+06   2.8734490E+06   3.8286946E+06   1.2294024E+04   3.5063383E+04   2.8737312E+06   2.8734490E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   2.8734422E+06   2.8734422E+06   3.8280202E+06   1.2292690E+04   3.5057989E+04   2.8737236E+06   2.8734422E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   2.8734336E+06   2.8734336E+06   3.8271713E+06   1.2291011E+04   3.5051200E+04   2.8737141E+06   2.8734336E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   2.8734228E+06   2.8734228E+06   3.8261028E+06   1.2288897E+04   3.5042658E+04   2.8737022E+06   2.8734228E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-05   2.8734092E+06   2.8734092E+06   3.8247581E+06   1.2286237E+04   3.5031909E+04   2.8736871E+06   2.8734092E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-05   2.8733920E+06   2.8733920E+06   3.8230659E+06   1.2282889E+04   3.5018387E+04   2.8736681E+06   2.8733920E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-05   2.8733705E+06   2.8733705E+06   3.8209364E+06   1.2278675E+04   3.5001378E+04   2.8736443E+06   2.8733705E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-05   2.8733434E+06   2.8733434E+06   3.8182571E+06   1.2273372E+04   3.4979988E+04   2.8736142E+06   2.8733434E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-05   2.8733092E+06   2.8733092E+06   3.8148867E+06   1.2266700E+04   3.4953095E+04   2.8735764E+06   2.8733092E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-05   2.8732662E+06   2.8732662E+06   3.8106474E+06   1.2258307E+04   3.4919298E+04   2.8735288E+06   2.8732662E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0537954E-04   2.8732121E+06   2.8732121E+06   3.8053167E+06   1.2247748E+04   3.4876840E+04   2.8734689E+06   2.8732121E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-04   2.8731440E+06   2.8731440E+06   3.7986157E+06   1.2234471E+04   3.4823534E+04   2.8733935E+06   2.8731440E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-04   2.8730584E+06   2.8730584E+06   3.7901952E+06   1.2217777E+04   3.4756654E+04   2.8732987E+06   2.8730584E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-04   2.8729506E+06   2.8729506E+06   3.7796192E+06   1.2196797E+04   3.4672818E+04   2.8731794E+06   2.8729506E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-04   2.8728150E+06   2.8728150E+06   3.7663440E+06   1.2170441E+04   3.4567844E+04   2.8730293E+06   2.8728150E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-04   2.8726444E+06   2.8726444E+06   3.7496932E+06   1.2137349E+04   3.4436590E+04   2.8728405E+06   2.8726444E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-04   2.8724300E+06   2.8724300E+06   3.7288287E+06   1.2095830E+04   3.4272767E+04   2.8726032E+06   2.8724300E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-04   2.8721604E+06   2.8721604E+06   3.7027159E+06   1.2043782E+04   3.4068757E+04   2.8723049E+06   2.8721604E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-04   2.8718216E+06   2.8718216E+06   3.6700844E+06   1.1978607E+04   3.3815426E+04   2.8719301E+06   2.8718216E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-04   2.8713961E+06   2.8713961E+06   3.6293856E+06   1.1897109E+04   3.3501988E+04   2.8714595E+06   2.8713961E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-04   2.8708620E+06   2.8708620E+06   3.5787485E+06   1.1795376E+04   3.3115966E+04   2.8708690E+06   2.8708620E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-04   2.8701921E+06   2.8701921E+06   3.5159396E+06   1.1668666E+04   3.2643331E+04   2.8701286E+06   2.8701921E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-04   2.8693525E+06   2.8693525E+06   3.4383353E+06   1.1511283E+04   3.2068977E+04   2.8692012E+06   2.8693525E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-04   2.8683016E+06   2.8683016E+06   3.3429206E+06   1.1316488E+04   3.1377699E+04   2.8680412E+06   2.8683016E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-04   2.8669882E+06   2.8669882E+06   3.2263368E+06   1.1076450E+04   3.0555979E+04   2.8665925E+06   2.8669882E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-04   2.8653494E+06   2.8653494E+06   3.0850093E+06   1.0782309E+04   2.9594877E+04   2.8647868E+06   2.8653494E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-04   2.8633094E+06   2.8633094E+06   2.9154019E+06   1.0424402E+04   2.8494411E+04   2.8625419E+06   2.8633094E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-04   2.8607766E+06   2.8607766E+06   2.7144517E+06   9.9927669E+03   2.7269624E+04   2.8597594E+06   2.8607766E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-04   2.8576428E+06   2.8576428E+06   2.4802490E+06   9.4780507E+03   2.5958163E+04   2.8563234E+06   2.8576428E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-04   2.8537808E+06   2.8537808E+06   2.2130060E+06   8.8729571E+03   2.4628156E+04   2.8520998E+06   2.8537808E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0537954E-03   2.8490446E+06   2.8490446E+06   1.9163054E+06   8.1743664E+03   2.3383390E+04   2.8469366E+06   2.8490446E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-03   2.8432695E+06   2.8432695E+06   1.5984868E+06   7.3861296E+03   2.2359829E+04   2.8406655E+06   2.8432695E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-03   2.8362746E+06   2.8362746E+06   1.2737866E+06   6.5222858E+03   2.1704150E+04   2.8331065E+06   2.8362746E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-03   2.8278659E+06   2.8278659E+06   9.6249181E+05   5.6099650E+03   2.1523297E+04   2.8240731E+06   2.8278659E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-03   2.8178409E+06   2.8178409E+06   6.8900543E+05   4.6905297E+03   2.1800027E+04   2.8133789E+06   2.8178409E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-03   2.8059918E+06   2.8059918E+06   4.7668258E+05   3.8167967E+03   2.2292649E+04   2.8008421E+06   2.8059918E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-03   2.7921053E+06   2.7921053E+06   3.3925110E+05   3.0441074E+03   2.2485426E+04   2.7862841E+06   2.7921053E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-03   2.7759571E+06   2.7759571E+06   2.7134369E+05   2.4148065E+03   2.1713779E+04   2.7695188E+06   2.7759571E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-03   2.7573013E+06   2.7573013E+06   2.4488379E+05   1.9405177E+03   1.9576350E+04   2.7503318E+06   2.7573013E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-03   2.7358618E+06   2.7358618E+06   2.2025159E+05   1.5935012E+03   1.6511829E+04   2.7284600E+06   2.7358618E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-03   2.7113360E+06   2.7113360E+06   1.7342322E+05   1.3207348E+03   1.3917650E+04   2.7035871E+06   2.7113360E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-03   2.6834147E+06   2.6834147E+06   1.1825027E+05   1.0804786E+03   1.2991040E+04   2.6753698E+06   2.6834147E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-03   2.6518016E+06   2.6518016E+06   8.7955471E+04   8.7029365E+02   1.2896946E+04   2.6434803E+06   2.6518016E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-03   2.6162013E+06   2.6162013E+06   8.1946201E+04   7.0629512E+02   1.1468324E+04   2.6076197E+06   2.6162013E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-03   2.5762912E+06   2.5762912E+06   6.5473231E+04   5.7766888E+02   9.2767743E+03   2.5674892E+06   2.5762912E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-03   2.5317365E+06   2.5317365E+06   4.4003807E+04   4.6219339E+02   8.7538586E+03   2.5227750E+06   2.5317365E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-03   2.4822310E+06   2.4822310E+06   4.0859331E+04   3.6917754E+02   7.8227632E+03   2.4731695E+06   2.4822310E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-03   2.4274606E+06   2.4274606E+06   2.9609614E+04   2.9708090E+02   6.3303036E+03   2.4183462E+06   2.4274606E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-03   2.3671007E+06   2.3671007E+06   2.4295703E+04   2.3444378E+02   5.9629215E+03   2.3579786E+06   2.3671007E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-03   2.3008409E+06   2.3008409E+06   1.8191555E+04   1.8592030E+02   4.6914195E+03   2.2917782E+06   2.3008409E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0537954E-02   2.2283716E+06   2.2283716E+06   1.5705977E+04   1.4584532E+02   4.2232231E+03   2.2194236E+06   2.2283716E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-02   2.1493948E+06   2.1493948E+06   1.0692407E+04   1.1368034E+02   3.6416344E+03   2.1406120E+06   2.1493948E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-02   2.0636379E+06   2.0636379E+06   8.3853759E+03   8.8622789E+01   2.8299664E+03   2.0550807E+06   2.0636379E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-02   1.9708824E+06   1.9708824E+06   6.8088215E+03   6.8230042E+01   2.3409006E+03   1.9626046E+06   1.9708824E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-02   1.8710146E+06   1.8710146E+06   5.2009333E+03   5.2194634E+01   1.9594921E+03   1.8630671E+06   1.8710146E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-02   1.7641040E+06   1.7641040E+06   3.7562879E+03   3.9637919E+01   1.6218589E+03   1.7565397E+06   1.7641040E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025981E-02   1.6505226E+06   1.6505226E+06   2.5906606E+03   2.9802357E+01   1.3925980E+03   1.6433879E+06   1.6505226E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591515E-02   1.5311056E+06   1.5311056E+06   2.0317575E+03   2.2199756E+01   1.2083726E+03   1.5244412E+06   1.5311056E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6469777E-02   1.4073534E+06   1.4073534E+06   1.4319868E+03   1.6413367E+01   9.2909906E+02   1.4011919E+06   1.4073534E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9696307E-02   1.2816920E+06   1.2816920E+06   1.0920133E+03   1.1992283E+01   7.7394184E+02   1.2760528E+06   1.2816920E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3297505E-02   1.1578858E+06   1.1578858E+06   7.7746061E+02   8.6938430E+00   6.3326794E+02   1.1527704E+06   1.1578858E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7251094E-02   1.0416350E+06   1.0416350E+06   5.4366036E+02   6.2940357E+00   5.1389270E+02   1.0370178E+06   1.0416350E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1413906E-02   9.4026112E+05   9.4026112E+05   3.8732973E+02   4.6116034E+00   4.4121320E+02   9.3608211E+05   9.4026112E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.5525600E-02   8.5909648E+05   8.5909648E+05   3.0357663E+02   3.4883768E+00   3.8404401E+02   8.5527050E+05   8.5909648E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.9387658E-02   7.9736618E+05   7.9736618E+05   2.4236899E+02   2.7449494E+00   3.3774279E+02   7.9380973E+05   7.9736618E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2967249E-02   7.5019157E+05   7.5019157E+05   1.9224881E+02   2.2378363E+00   3.0428129E+02   7.4684178E+05   7.5019157E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.6318195E-02   7.1268952E+05   7.1268952E+05   1.5636697E+02   1.8738921E+00   2.7214169E+02   7.0950432E+05   7.1268952E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9505773E-02   6.8132872E+05   6.8132872E+05   1.4180554E+02   1.5992974E+00   2.4671253E+02   6.7828145E+05   6.8132872E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.2583763E-02   6.5374890E+05   6.5374890E+05   1.2416376E+02   1.3826812E+00   2.4156378E+02   6.5082321E+05   6.5374890E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.5592900E-02   6.2838346E+05   6.2838346E+05   1.0158682E+02   1.2076629E+00   2.2132812E+02   6.2556983E+05   6.2838346E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.8563812E-02   6.0419383E+05   6.0419383E+05   9.8005474E+01   1.0616568E+00   2.0939690E+02   6.0148731E+05   6.0419383E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.1519949E-02   5.8051069E+05   5.8051069E+05   7.8638739E+01   9.3741031E-01   2.0156618E+02   5.7790922E+05   5.8051069E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4479741E-02   5.5694045E+05   5.5694045E+05   7.5557794E+01   8.3053288E-01   1.8342331E+02   5.5444372E+05   5.5694045E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.7458096E-02   5.3330737E+05   5.3330737E+05   6.3566930E+01   7.3667677E-01   1.8180818E+02   5.3091581E+05   5.3330737E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.0467419E-02   5.0961306E+05   5.0961306E+05   5.6412329E+01   6.5452442E-01   1.6260923E+02   5.0732709E+05   5.0961306E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3518315E-02   4.8600277E+05   4.8600277E+05   5.2764322E+01   5.8139748E-01   1.5951627E+02   4.8382212E+05   4.8600277E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.6620078E-02   4.6273207E+05   4.6273207E+05   4.2580230E+01   5.1670438E-01   1.4901077E+02   4.6065532E+05   4.6273207E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.9781043E-02   4.4013063E+05   4.4013063E+05   4.0104098E+01   4.5941788E-01   1.3651090E+02   4.3815488E+05   4.4013063E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3008836E-02   4.1856159E+05   4.1856159E+05   3.6508063E+01   4.0854781E-01   1.3230570E+02   4.1668228E+05   4.1856159E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.6310557E-02   3.9837721E+05   3.9837721E+05   3.0830447E+01   3.6374331E-01   1.2584800E+02   3.9658818E+05   3.9837721E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.9692920E-02   3.7987281E+05   3.7987281E+05   2.6860739E+01   3.2436041E-01   1.1742227E+02   3.7816657E+05   3.7987281E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0316235E-01   3.6324306E+05   3.6324306E+05   2.4289901E+01   2.8980173E-01   1.1042646E+02   3.6161124E+05   3.6324306E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0672508E-01   3.4854556E+05   3.4854556E+05   2.1932425E+01   2.5955144E-01   1.0538680E+02   3.4697953E+05   3.4854556E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1038719E-01   3.3567774E+05   3.3567774E+05   1.9609863E+01   2.3312127E-01   1.0073425E+02   3.3416930E+05   3.3567774E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1415464E-01   3.2437291E+05   3.2437291E+05   1.7533363E+01   2.0989745E-01   9.7013787E+01   3.2291507E+05   3.2437291E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1803337E-01   3.1421998E+05   3.1421998E+05   1.5826289E+01   1.8941104E-01   9.3961123E+01   3.1280760E+05   3.1421998E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2202924E-01   3.0470879E+05   3.0470879E+05   1.4610086E+01   1.7114710E-01   9.1250789E+01   3.0333899E+05   3.0470879E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2614813E-01   2.9529848E+05   2.9529848E+05   1.3800522E+01   1.5471235E-01   8.7607102E+01   2.9397084E+05   2.9529848E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3039588E-01   2.8550174E+05   2.8550174E+05   1.2519107E+01   1.3973068E-01   8.2701667E+01   2.8421800E+05   2.8550174E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3477839E-01   2.7497153E+05   2.7497153E+05   1.0599255E+01   1.2592460E-01   7.9592643E+01   2.7373503E+05   2.7497153E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3930154E-01   2.6357341E+05   2.6357341E+05   1.0056552E+01   1.1314908E-01   7.7000273E+01   2.6238805E+05   2.6357341E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4397127E-01   2.5142427E+05   2.5142427E+05   8.6790221E+00   1.0136305E-01   7.1671510E+01   2.5029344E+05   2.5142427E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4879354E-01   2.3888180E+05   2.3888180E+05   8.0142756E+00   9.0516784E-02   6.9182277E+01   2.3780731E+05   2.3888180E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5377436E-01   2.2647712E+05   2.2647712E+05   6.7069495E+00   8.0694650E-02   6.4783473E+01   2.2545834E+05   2.2647712E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5891980E-01   2.1479621E+05   2.1479621E+05   6.1903878E+00   7.1911744E-02   6.0522227E+01   2.1382991E+05   2.1479621E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6423597E-01   2.0433262E+05   2.0433262E+05   5.6474218E+00   6.4157477E-02   5.7777588E+01   2.0341332E+05   2.0433262E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6972907E-01   1.9534779E+05   1.9534779E+05   5.0369161E+00   5.7403380E-02   5.5144521E+01   1.9446886E+05   1.9534779E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7540537E-01   1.8778288E+05   1.8778288E+05   4.4759816E+00   5.1532012E-02   5.2843733E+01   1.8693794E+05   1.8778288E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8127124E-01   1.8125923E+05   1.8125923E+05   3.9657194E+00   4.6400702E-02   5.0795916E+01   1.8044360E+05   1.8125923E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8733317E-01   1.7518271E+05   1.7518271E+05   3.5959317E+00   4.1829578E-02   4.9283464E+01   1.7439438E+05   1.7518271E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9359780E-01   1.6893196E+05   1.6893196E+05   3.3486149E+00   3.7673704E-02   4.7249844E+01   1.6817172E+05   1.6893196E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.0007191E-01   1.6207365E+05   1.6207365E+05   2.8722234E+00   3.3833114E-02   4.5114554E+01   1.6134424E+05   1.6207365E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
